Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail;Quelle
Art of Wine GmbH;Untere Hauptstraße 11;7093;Jois;AT;Burgenland;Leithaberg;+43 664 6464147;alex@austrian.wine;ÖWM-Betriebssuche
Artinger;Zum Alten Stadttor 3;7071;Rust;AT;Burgenland;Ruster Ausbruch;;;ÖWM-Betriebssuche
Artisan Wines - DI Franz Schneider;Erzherzog- Friedrichstraße 19;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 699 10814930;franz@artisanwines.at;ÖWM-Betriebssuche
Artner (Hauptstrasse);Hauptstrasse 52;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;+43 2680 2389;;ÖWM-Betriebssuche
Artner (Girmerstraße);Girmerstraße 56;7301;Deutschkreutz;AT;Burgenland;Mittelburgenland;+43 664 3820160;office@weingut-artner.at;ÖWM-Betriebssuche
Artner (Feldgasse);Feldgasse 11;7071;Rust;AT;Burgenland;Ruster Ausbruch;;;ÖWM-Betriebssuche
Artner Winzerfamilie;Flurgasse 11;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;+43 664 4023099;josef@artner-wein.at;ÖWM-Betriebssuche
Ascher;Moschendorf 7;7540;Krottendorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Astel;Moschendorf 103;7540;Krottendorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Auer (Untere Hauptstrasse);Untere Hauptstrasse 63;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 8388;auer.werner@bnet.at;ÖWM-Betriebssuche
Auer (Bundesstrasse);Bundesstrasse 28;7093;Jois;AT;Burgenland;Leithaberg;+43 664 5419003;office@auer.or.at;ÖWM-Betriebssuche
Aurum Vitis GmbH;;7122;Gols;AT;Burgenland;Neusiedlersee;;contact@aurum-vitis.com;ÖWM-Betriebssuche
BIOHERZOG - Wein & Land;Weinberggasse 1;7122;Gols;AT;Burgenland;Neusiedlersee;+43 669 10707329;office@bioherzog.at;ÖWM-Betriebssuche
Bachkönig Rudolf;Ödenburgerstrasse 11;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 6236;weingut-bachkoenig@gmx.at;ÖWM-Betriebssuche
Back to Eden;Obere Hauptstrasse 48;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2342;office@backtoeden.at;ÖWM-Betriebssuche
Bader;Günser Strasse 6;7312;Horitschon;AT;Burgenland;Mittelburgenland;;;ÖWM-Betriebssuche
Bader Wein;Florianigasse 26;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 664 75038152;office@baderwein.at;ÖWM-Betriebssuche
Balogh;Hannersdorf Nr.78;7473;Hannersdorf;AT;Burgenland;Südburgenland;+43 3364 2968;;ÖWM-Betriebssuche
Barilich;Hauptstrasse 10;7064;Oslip;AT;Burgenland;Leithaberg;+43 2684 2111;;ÖWM-Betriebssuche
Bartolich;Dr. Ratzg. 11;7071;Rust;AT;Burgenland;Ruster Ausbruch;;;ÖWM-Betriebssuche
Batthyány;Waldgebiet 636;7471;Rechnitz;AT;Burgenland;Südburgenland;+43 3363 79201;wein@weingut-batthyany.at;ÖWM-Betriebssuche
Bauer (Neugasse);Neugasse 4;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 2610 2371;;ÖWM-Betriebssuche
Bauer (Untere Hauptstrasse);Untere Hauptstrasse 24;2443;Leithaprodersdorf;AT;Burgenland;Neusiedlersee;+43 2255 6264;;ÖWM-Betriebssuche
Bauer (Gartenweg);Gartenweg 1;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3428;hans.bauer@a1.net;ÖWM-Betriebssuche
Bauer Hans;Bachzeile 24;7025;Pöttelsdorf;AT;Burgenland;Leithaberg;+43 2626 50123;bauer@wein-prosciutto.at;ÖWM-Betriebssuche
Bauer-Pöltl;Brunnenweg 1;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 2610 43226;weinhof@bauerpoeltl.at;ÖWM-Betriebssuche
Heribert Bayer In Signo Leonis;Wirtschaftspark 5;7311;Neckenmarkt;AT;Burgenland;Mittelburgenland;+43 2610 42644;bayer@weinfreund.at;ÖWM-Betriebssuche
St. Bayer;Seepark-Feriendorf 1;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 699 10620478;info@stbayer.wine;ÖWM-Betriebssuche
Bayer-Erbhof;Hauptstrasse 50;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 664 88624336;weingut@bayer-erbhof.at;ÖWM-Betriebssuche
Beck (In den Reben);In den Reben 1;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2755;judith@weingut-beck.at;ÖWM-Betriebssuche
Beck (Kellergasse);Kellergasse 4a;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 20021;info@weingut-beck.net;ÖWM-Betriebssuche
Behm;Moschendorf 162;7540;Krottendorf;AT;Burgenland;Südburgenland;;weinbau.beilschmidt@gmx.at;ÖWM-Betriebssuche
Bellosits;Hauptstrasse 18;7011;Siegendorf;AT;Burgenland;Leithaberg;+43 2687 84913;;ÖWM-Betriebssuche
Benzer;Dt. Tschantschendorf 138;7544;Tobaj;AT;Burgenland;Südburgenland;+43 664 88667165;wbenzer@cable.vol.at;ÖWM-Betriebssuche
Berger;Hauptstrasse 30;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 2683 8207;mail@weingut-berger.at;ÖWM-Betriebssuche
Berger Leginthov;Raiffeisenplatz 10;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 2173 80381;wein@leginthov.at;ÖWM-Betriebssuche
Berger-Striok;Eisenstädter Strasse 28;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 2683 8532;;ÖWM-Betriebssuche
Berlakovich;Obere Hauptstrasse 41;7304;Großwarasdorf;AT;Burgenland;Mittelburgenland;;;ÖWM-Betriebssuche
Nittnaus Bernd;Obere Hauptstrasse 34;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2359;info@nittnaus-wein.at;ÖWM-Betriebssuche
Bernthaler;Neustiftgasse 60;7122;Gols;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Bernthaler + Bernthaler;Untere Hauptstrasse 116;7122;Gols;AT;Burgenland;Neusiedlersee;+43 664 9208660;bernthaler@gmx.at;ÖWM-Betriebssuche
Bettendorf;Weingartenweg 5;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 2683 8677;;ÖWM-Betriebssuche
Bichler;Sätzgasse 22;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 2683 5410;office@b-z.at;ÖWM-Betriebssuche
Binder;Domplatz 10;7000;Eisenstadt;AT;Burgenland;Leithaberg;+43 2682 62673;;ÖWM-Betriebssuche
Binder-Wendelin;Neustiftgasse 30-32;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2459;weingut@binder-wendelin.at;ÖWM-Betriebssuche
Bio-Weingut Reiger;Untere Kellergasse 1;7474;Eisenberg an der Pinka;AT;Burgenland;Südburgenland;+43 3365 2346;weingut@reiger.cc;ÖWM-Betriebssuche
Biohof Lang;Erzherzog Friedrich Strasse 13;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 2172 8765;info@weingut-biohoflang.com;ÖWM-Betriebssuche
Biricz;Obere Hauptstrasse 67;7304;Großwarasdorf;AT;Burgenland;Mittelburgenland;+43 2614 2613;;ÖWM-Betriebssuche
Ioan u. Rodica Birtoc;Seestraße 17;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 699 19711208;wein.birtoc@gmail.com;ÖWM-Betriebssuche
Bleich (Marktplatz);Marktplatz 11;7152;Pamhagen;AT;Burgenland;Neusiedlersee;+43 2175 2965;;ÖWM-Betriebssuche
Bleich (Weinzeile);Weinzeile 4;7072;Mörbisch am See;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Bohnenstingl;Bahnstraße 22;7091;Breitenbrunn;AT;Burgenland;Leithaberg;+43 676 5700459;info@weinbau-bohnenstingl.at;ÖWM-Betriebssuche
Bors;Raiffeisenstrasse 3;7152;Pamhagen;AT;Burgenland;Neusiedlersee;+43 2174 2162;;ÖWM-Betriebssuche
Bradl (Widderweg);Widderweg 4/7;7503;Großpetersdorf;AT;Burgenland;Südburgenland;+43 664 2243023;weinbau.bradl@gmail.com;ÖWM-Betriebssuche
Bradl (Prangergasse);Prangergasse 3a/3;7471;Rechnitz;AT;Burgenland;Südburgenland;+43 664 2185490;weinbau.bradl@gmail.com;ÖWM-Betriebssuche
Braunschmidt (Franz-Liszt-Gasse);Franz-Liszt-Gasse 7;7123;Mönchhof;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Braunschmidt (Kirchenplatz);Kirchenplatz 7;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 2173 80577;;ÖWM-Betriebssuche
Birgit Braunstein;Hauptgasse 18;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 2683 5913;office@weingut-braunstein.at;ÖWM-Betriebssuche
Brenner;Nr. 218;7473;Hannersdorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Bruckner Helmut;Obere Hauptstrasse 98;7122;Gols;AT;Burgenland;Neusiedlersee;+43 699 11727813;office@bruckner-wein.at;ÖWM-Betriebssuche
Bruckner Reinhard;Neubaugasse 16;7122;Gols;AT;Burgenland;Neusiedlersee;+43 664 5121753;reinhard@weinbau-bruckner.at;ÖWM-Betriebssuche
Brunnäcker;Schmalkräftengasse 16;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 2683 5486;;ÖWM-Betriebssuche
Brüder Schmidt;Seestrasse 61;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2106;info@agschmidt.at;ÖWM-Betriebssuche
Burda GmbH Christian & Raimund;Untere Hauptstraße 161;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2131;kellerei@burda-weine.at;ÖWM-Betriebssuche
Böcskei;Hauptstrasse 29;7092;Winden am See;AT;Burgenland;Leithaberg;+43 676 9423770;boecskei@kabelplus.at;ÖWM-Betriebssuche
Böcskör;Nr. 32;7473;Burg;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Böhm;Kirchengasse 32;7143;Apetlon;AT;Burgenland;Neusiedlersee;+43 2175 3405;;ÖWM-Betriebssuche
Böhm Herbert;Seestrasse 7;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;+43 2167 2816;office@weingut-boehm.at;ÖWM-Betriebssuche
Ceel;Hauptstraße 2;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 664 9579448;office@weingut-ceel.at;ÖWM-Betriebssuche
Christian Patrick Kluiber Uhudlerweinbau;Am Hochberg 21;7563;Königsdorf;AT;Burgenland;Südburgenland;+43 699 19437914;office@uhudler-online.at;ÖWM-Betriebssuche
Tschida Christian;Seegasse 36;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 24158;office@christiantschida.at;ÖWM-Betriebssuche
Club Batonnage;Apetlonerstraße 23;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 24158;hedonismus@aon.at;ÖWM-Betriebssuche
Conrad;Rathausplatz 2;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 664 1814033;office@conrad-wein.at;ÖWM-Betriebssuche
Csatlos;Stiftgasse 2;7092;Winden am See;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Csencsits (Burg);Burg 128;7473;Burg;AT;Burgenland;Südburgenland;+43 3364 2784;info@weinbau-csencsits.at;ÖWM-Betriebssuche
Csencsits (Deutsch-Ehrensdorf);Deutsch-Ehrensdorf 3;7522;Strem;AT;Burgenland;Südburgenland;+43 3323 2020;;ÖWM-Betriebssuche
Thomas Cvitkovich;Obere Hauptstrasse 14b;7061;Trausdorf an der Wulka;AT;Burgenland;Leithaberg;+43 2682 62278;office@traudls-heuriger.at;ÖWM-Betriebssuche
Daniel Lorenschitz;Untere Hauptstrasse 30;7162;Tadten;AT;Burgenland;Neusiedlersee;+43 699 10710735;office@lorenschitz.at;ÖWM-Betriebssuche
Weingut zur Dankbarkeit;P. A. Winklergasse 30;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 676 9277015;weingut@dankbarkeit.at;ÖWM-Betriebssuche
Decker;Kasernenstrasse 22;7540;Güssing;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Denk;Stefaniegasse 23;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Depauly;Saliterhof 18;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;+43 2167 3717;;ÖWM-Betriebssuche
Destillerie-Weingut Stiegelmar;Obere Hauptstrasse 40;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2492;;ÖWM-Betriebssuche
Deutsch (Nr.);Nr.15;7473;Hannersdorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Deutsch (Kirchengasse);Kirchengasse 25;7152;Pamhagen;AT;Burgenland;Neusiedlersee;;kontakt@deutschkreutzerwein.at;ÖWM-Betriebssuche
Die Ruster Weinbauern;Weinberggasse 19;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 368;harald.tremmel@gmx.at;ÖWM-Betriebssuche
Die Winzerinnen vom See GmbH;Hofrat Achs Weg 15;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 20060;prost@golserwein.at;ÖWM-Betriebssuche
Do & Jo Weinbox;Hauptstraße 43;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 676 6369012;;ÖWM-Betriebssuche
Dobrovits;Untere Hauptstraße 24;7041;Wulkaprodersdorf;AT;Burgenland;Leithaberg;+43 2687 62975;;ÖWM-Betriebssuche
Dombi-Weiss;Seestraße 5;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2359;office@dombi-weiss.com;ÖWM-Betriebssuche
Domus-Auriga;Obere Hauptstrasse 20;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7517;;ÖWM-Betriebssuche
Dorner;Feldgasse 13;7301;Deutschkreutz;AT;Burgenland;Mittelburgenland;+43 664 3810356;office@weinbau-dorner.com;ÖWM-Betriebssuche
Dorner Willibald;Obere Kellergasse;7474;Deutsch Schützen-Eisenberg;AT;Burgenland;Südburgenland;+43 664 3125353;weinbau.dorner.willi@gmx.at;ÖWM-Betriebssuche
Dr. Ernesto Franz;Baumgartengasse 11;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 60704;weingut@elfenhof.at;ÖWM-Betriebssuche
Dulmovits;Hummergraben;7474;Deutsch Schützen-Eisenberg;AT;Burgenland;Südburgenland;+43 3362 215521;;ÖWM-Betriebssuche
Dunst;Nr.20;7473;Hannersdorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Duschanek;Hauptstrasse 104;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 2610 42206;danielduschanek@gmail.com;ÖWM-Betriebssuche
Döller-Probuskeller;Untere Hauptstrasse 129;7201;Neudörfl;AT;Burgenland;Rosalia;+43 2622 77440;office@doeller-probuskeller.at;ÖWM-Betriebssuche
EHE Krauscher;Hauptstrasse 32;7051;Großhöflein;AT;Burgenland;Leithaberg;+43 676 4959612;krauscher@krauscher.at;ÖWM-Betriebssuche
Eberhardt;Nr.25;7473;Hannersdorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Eberherr Jörn und Elvira;Hauptstrasse 116;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;+43 664 4031232;weingut@eberherr.at;ÖWM-Betriebssuche
Ecker;Oggauerstrasse 4;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 292;;ÖWM-Betriebssuche
Edelhof;Hauptplatz 6 Edelhof;7093;Jois;AT;Burgenland;Leithaberg;+43 664 2548391;wetschka@bioweingut-edelhof.at;ÖWM-Betriebssuche
Edelhof Skerlan Matthias;Hauptplatz 20;2421;Kittsee;AT;Burgenland;Neusiedlersee;+43 2143 2248;;ÖWM-Betriebssuche
Edelmeier;Am Berg 16;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2792;edelmeier@aon.at;ÖWM-Betriebssuche
Eder am Spitz;Kreuzstraße 6 / 8;2443;Leithaprodersdorf;AT;Burgenland;Neusiedlersee;+43 669 10841386;michibauer1979@gmail.com;ÖWM-Betriebssuche
Egermann;Neustiftgasse 50;7123;Mönchhof;AT;Burgenland;Neusiedlersee;;office@weingut-egermann.at;ÖWM-Betriebssuche
Egermann Alexander;Apetlonerstrasse 28;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3293;wein@alexander-egermann.at;ÖWM-Betriebssuche
Ehn;Bahnstrasse 8;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 2683 8445;;ÖWM-Betriebssuche
Ehrenreiter;Kirchengasse 24;7091;Breitenbrunn;AT;Burgenland;Leithaberg;+43 2683 2797;;ÖWM-Betriebssuche
Eichenwald Weine eGen.;Günser Straße 54 u. 60;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 2610 42321;office@eichenwald.at;ÖWM-Betriebssuche
Eiweck;Bergstrasse 8;7000;Eisenstadt;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Elfenhof;Baumgartengasse 11;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 60704;office@elfenhof.at;ÖWM-Betriebssuche
Enz;Sportplatzgasse 1a;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7334;;ÖWM-Betriebssuche
Erbhof Nährer;St. Georgener Haupstrasse 24;7000;Eisenstadt;AT;Burgenland;Leithaberg;+43 2682 64430;weine@erbhof-naehrer.at;ÖWM-Betriebssuche
Erdt;Hauptstrasse 128;7051;Großhöflein;AT;Burgenland;Leithaberg;+43 2682 62826;;ÖWM-Betriebssuche
Erdödy'sche Schlosskellerei Kohfidisch;Schloss Kohfidisch;7512;Kohfidisch;AT;Burgenland;Südburgenland;+43 3366 77202;;ÖWM-Betriebssuche
Ernst;Neubaugasse 21;7301;Deutschkreutz;AT;Burgenland;Mittelburgenland;+43 664 3860220;info@weinguternst.at;ÖWM-Betriebssuche
Eschenhof;Eschengasse 11;7072;Mörbisch am See;AT;Burgenland;Leithaberg;+43 2685 8344;fiedler@weingut-eschenhof.at;ÖWM-Betriebssuche
Esterházy;Trausdorf 1;7061;Trausdorf an der Wulka;AT;Burgenland;Leithaberg;+43 2682 63348;weingut@esterhazywein.at;ÖWM-Betriebssuche
Etl;Untere Hauptstrasse 2;7162;Tadten;AT;Burgenland;Neusiedlersee;+43 2176 2317;;ÖWM-Betriebssuche
Etl wine and spirits GmbH;Erzherzog Friedrich Straße 54;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 699 11353068;office@weingut-etl.at;ÖWM-Betriebssuche
Ettl (Seestrasse 77);Seestrasse 77;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;;office@weinbau-pension-ettl.com;ÖWM-Betriebssuche
Ettl (Seestrasse 48);Seestrasse 48;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2483;office@bioweingut-ettl.at;ÖWM-Betriebssuche
Fabsits;Woppendorf 19;7473;Hannersdorf;AT;Burgenland;Südburgenland;+43 3364 2873;;ÖWM-Betriebssuche
The Fabulous Winery;Herrengasse 14;7072;Mörbisch am See;AT;Burgenland;Leithaberg;+43 660 1919602;cheers@fab.wine;ÖWM-Betriebssuche
Fam. Zistler Blaufränkischhof;Langegasse 21;7301;Deutschkreutz;AT;Burgenland;Mittelburgenland;+43 2613 89642;office@zistler-rot.com;ÖWM-Betriebssuche
Familie Schmidt OTS;Landsatzgasse 11;7083;Purbach am;AT;Burgenland;Leithaberg;+43 2683 5594;neusiedlerseeots@aon.at;ÖWM-Betriebssuche
Fasching;Hauptstrasse 124;7063;Oggau am Neusiedler See;AT;Burgenland;Leithaberg;+43 2685 7706;paul.fasching@svb.at;ÖWM-Betriebssuche
Feiler-Artinger;Hauptstrasse 3;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 237;office@feiler-artinger.at;ÖWM-Betriebssuche
Fekete;Hauptplatz 19;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Fenk jun.;Hauptstrasse 99;7051;Großhöflein;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Ferstl-Josk;Haschendorf 46;7311;Neckenmarkt;AT;Burgenland;Mittelburgenland;+43 664 1432176;weinbau.ferstl-josk@aon.at;ÖWM-Betriebssuche
Fetter;Gartengasse 23;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 321112;;ÖWM-Betriebssuche
Fichtenbauer;Hauptstraße 53;2413;Edelstal;AT;Burgenland;Neusiedlersee;+43 2145 2049;;ÖWM-Betriebssuche
Filipich;Wiesengasse 15;7064;Oslip;AT;Burgenland;Leithaberg;+43 2684 2100;;ÖWM-Betriebssuche
Fink;Bahnstrasse 66;7151;Wallern im Burgenland;AT;Burgenland;Neusiedlersee;+43 2174 2384;weingut@fink.at;ÖWM-Betriebssuche
Fink Hermann;Hauptstrasse 78;7051;Großhöflein;AT;Burgenland;Leithaberg;+43 2682 64376;office@hermann-fink.at;ÖWM-Betriebssuche
Fischbach (Hauptstrasse);Hauptstrasse 13;7092;Winden am See;AT;Burgenland;Leithaberg;+43 2160 7462;;ÖWM-Betriebssuche
Fischbach (Obere Hauptstrasse);Obere Hauptstrasse 51-53;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;+43 2167 20871;weingut@fischbachwein.at;ÖWM-Betriebssuche
Fischbach (Quellengasse);Quellengasse 23;7122;Gols;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Fischbach (Unt. Hauptstrasse);Unt. Hauptstrasse 5;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 7295;ingridfischbach@hotmail.com;ÖWM-Betriebssuche
Alfred Fischer GmbH;Rosenthalgasse 2- 6;7023;Stöttera;AT;Burgenland;Leithaberg;+43 2626 5238;weingut@alfredfischer.at;ÖWM-Betriebssuche
Fischl (Kinogasse);Kinogasse 8;7072;Mörbisch am See;AT;Burgenland;Leithaberg;+43 2685 6428;;ÖWM-Betriebssuche
Fischl (Kirchengasse);Kirchengasse 1;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 294;;ÖWM-Betriebssuche
Fixl;Burg-Hannersdorf 53;7473;Hannersdorf;AT;Burgenland;Südburgenland;+43 3364 2876;;ÖWM-Betriebssuche
