Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail;Quelle
Anderl (Ottenthal);Ottenthal 59;2163;Ottenthal;AT;Niederösterreich;Weinviertel;+43 664 6433136;andreas.anderl1@gmx.at;ÖWM-Betriebssuche
Andre;Großinzersdorf 131;2225;Großinzersdorf;AT;Niederösterreich;Weinviertel;+43 2532 2872;info@andreweine.at;ÖWM-Betriebssuche
Andreas Außer;Poysbrunner Straße 27a;2171;Herrnbaumgarten;AT;Niederösterreich;Weinviertel;+43 660 6846848;office@ausser.at;ÖWM-Betriebssuche
Andreas Bsteh;Wulzeshofen Nr. 48;2064;Wulzeshofen;AT;Niederösterreich;Weinviertel;+43 676 6863316;weinbau.bsteh@speed.at;ÖWM-Betriebssuche
Andreas Harm;Grundgasse 51;3508;Paudorf;AT;Niederösterreich;Kremstal;+43 660 5083048;office@harmwein.at;ÖWM-Betriebssuche
Andreas Steinmetz;Kremserstraße 7/2/6;3712;Maissau;AT;Niederösterreich;Weinviertel;;biohofkiblitz@gmail.com;ÖWM-Betriebssuche
Angerer (Gföhlerstrasse);Gföhlerstrasse 17a;3552;Lengenfeld;AT;Niederösterreich;Kremstal;+43 2719 2143;;ÖWM-Betriebssuche
Angerer (Untere Hauptstrasse);Untere Hauptstrasse 4;3495;Rohrendorf bei Krems;AT;Niederösterreich;Kremstal;+43 2732 86451;;ÖWM-Betriebssuche
Angerer Kurt;Annagasse 101;3552;Lengenfeld;AT;Niederösterreich;Kremstal;+43 676 4306901;kurt.angerer@aon.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Anna Forstner;Sonnenzeile 35;2002;Großmugl;AT;Niederösterreich;Weinviertel;+43 670 4056656;Robert-forstner@gmx.at;ÖWM-Betriebssuche
Anton Bauer;Neufang 42;3483;Feuersbrunn;AT;Niederösterreich;Wagram;+43 2738 2556;office@antonbauer.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Antoni;Ginzersdorf 66;2143;Großkrut;AT;Niederösterreich;Weinviertel;+43 2556 379;;ÖWM-Betriebssuche
Arkadenheuriger Seitz;Anton-Rauch- Strasse 5;2525;Günselsdorf;AT;Niederösterreich;Thermenregion;+43 2256 63387;;ÖWM-Betriebssuche
Arkadenhof Hausdorf;Neudegg 6;3471;Großriedenthal;AT;Niederösterreich;Wagram;+43 2279 7214;wein@hausdorf.at;ÖWM-Betriebssuche
Arkadenhof- Buchmayer;Pillersdorf 7;2073;Schrattenthal;AT;Niederösterreich;Weinviertel;+43 2946 8246;harald@buchmayer.at;ÖWM-Betriebssuche
Arkadenhofheuriger;Adletzberg 29;3454;Sitzenberg-Reidling;AT;Niederösterreich;Wagram;+43 2276 76013;;ÖWM-Betriebssuche
Arnauer;Frauendorf 8;3710;Ziersdorf;AT;Niederösterreich;Weinviertel;+43 2959 2625;;ÖWM-Betriebssuche
Arndorfer Martin & Anna;Weinbergweg 16;3491;Straß im Straßertale;AT;Niederösterreich;Kamptal;+43 664 5157044;info@ma-arndorfer.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Arocker;Hauptplatz 12;3712;Maissau;AT;Niederösterreich;Weinviertel;+43 2958 8514;office@arocker.at;ÖWM-Betriebssuche
ArteVinea Jahn e.U. Weingut;Viendorf 51;2013;Göllersdorf;AT;Niederösterreich;Weinviertel;+43 650 6540657;manfred.jahn@artevinea.at;ÖWM-Betriebssuche
Arthold;Ortstrasse 20;2051;Zellerndorf;AT;Niederösterreich;Weinviertel;+43 2945 2223;office@arthold.info;ÖWM-Betriebssuche
Artner (Dorfstrasse 8);Dorfstrasse 8;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8495;weingaertnerei@bioartner.at;ÖWM-Betriebssuche
Artner (Dorfstrasse 93);Dorfstrasse 93;2465;Höflein;AT;Niederösterreich;Carnuntum;+43 2162 63142;weingut@artner.co.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Artner (Gartengasse);Gartengasse 4;2521;Trumau;AT;Niederösterreich;Thermenregion;+43 664 4555887;servus@artnerweine.at;ÖWM-Betriebssuche
Asbacher Klosterkeller Stradinger;Hollerzeile 19;3552;Stratzing;AT;Niederösterreich;Kremstal;+43 2719 30030;klosterkeller@stradinger.at;ÖWM-Betriebssuche
Aschauer (Drosseramt);Drosseramt 4;3552;Droß;AT;Niederösterreich;Kremstal;+43 664 1175275;info@aschauerwein.at;ÖWM-Betriebssuche
Aschauer (Nr.);Nr. 33;3512;Mautern an der Donau;AT;Niederösterreich;Wachau;+43 676 7134853;info@weinbau-aschauer.at;ÖWM-Betriebssuche
Asperger;Grossharras 19;2034;Großharras;AT;Niederösterreich;Weinviertel;+43 2526 6857;;ÖWM-Betriebssuche
Atzberg Wein GmbH;Mieslingtal 3;3620;Spitz;AT;Niederösterreich;Wachau;+43 650 3517353;office@atzberg.at;ÖWM-Betriebssuche
Auer;Theyerner Dorfstraße 12;3134;Theyern;AT;Niederösterreich;Traisental;+43 2783 7276;winzerhof-auer@gmx.at;ÖWM-Betriebssuche
Auer Familie;Pottendorferstrasse 14;2523;Tattendorf;AT;Niederösterreich;Thermenregion;+43 2253 81251;office@weingutauer.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Auer Michael;Hoher Weg;2465;Höflein;AT;Niederösterreich;Carnuntum;+43 699 11608281;office@weingut-auer.com;ÖWM-Betriebssuche
Aufgeweckt;Laaerstrasse 10;2054;Haugsdorf;AT;Niederösterreich;Weinviertel;+43 2944 2568;;ÖWM-Betriebssuche
Aufreiter;Dorfstraße 92;3506;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2739 2205;willkommen@weinhof.at;ÖWM-Betriebssuche
Aumann Leo;Oberwaltersdorferstrasse 105;2512;Tribuswinkel;AT;Niederösterreich;Thermenregion;+43 2252 80502;office@aumann.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Autherith;Weinzierlweg 5;3714;Niederschleinz;AT;Niederösterreich;Weinviertel;+43 664 3966193;weine@autherith.com;ÖWM-Betriebssuche
Autherith Johannes;Hauptplatz 12;3714;Sitzendorf an der Schmida;AT;Niederösterreich;Weinviertel;+43 2959 2005;;ÖWM-Betriebssuche
Autrieth;Hadres 24;2061;Hadres;AT;Niederösterreich;Weinviertel;+43 664 9222557;info@weingut-autrieth.at;ÖWM-Betriebssuche
AWP Angela und Walter Pernikl;Oberer Markt 4;3134;Nußdorf ob der Traisen;AT;Niederösterreich;Traisental;+43 2783 6290;awp@pernikl.at;ÖWM-Betriebssuche
Axter;Wilhelmsdorferstraße 35;2170;Poysdorf;AT;Niederösterreich;Weinviertel;+43 660 3475585;axter.guenther@gmail.com;ÖWM-Betriebssuche
Babor Christine;Nr. 253;2164;Wildendürnbach;AT;Niederösterreich;Weinviertel;+43 2523 8734;thomasbabor@aon.at;ÖWM-Betriebssuche
Bacher;Hollabrunnerstr. 48;3702;Oberrußbach;AT;Niederösterreich;Weinviertel;+43 664 8300487;johann.bacher@gmx.at;ÖWM-Betriebssuche
Bachhammer;Eibesthal 115;2130;Mistelbach;AT;Niederösterreich;Weinviertel;+43 2572 34663;;ÖWM-Betriebssuche
Bachl (Großnondorf);Großnondorf 20;2042;Guntersdorf;AT;Niederösterreich;Weinviertel;+43 699 10917340;f.bachl@gmx.net;ÖWM-Betriebssuche
Bachl (Kleinbaumgarten);Kleinbaumgarten 22;2154;Unterstinkenbrunn;AT;Niederösterreich;Weinviertel;+43 2522 88129;;ÖWM-Betriebssuche
Bachl Josef;Grossnondorf 103;2042;Guntersdorf;AT;Niederösterreich;Weinviertel;+43 699 12309790;josef.bachl@gmx.at;ÖWM-Betriebssuche
Bachmayer;Herrenzeile 35;2192;Kettlasbrunn;AT;Niederösterreich;Weinviertel;+43 2573 25922;josef@gasthof-schmidt.at;ÖWM-Betriebssuche
Backknecht;Unterer Mitterweg 10;3495;Rohrendorf bei Krems;AT;Niederösterreich;Kremstal;+43 2732 84494;office@rebschule.at;ÖWM-Betriebssuche
Baier;Stetteldorferstraße 23;3702;Rußbach;AT;Niederösterreich;Weinviertel;+43 650 5817691;office@weingut-baier.at;ÖWM-Betriebssuche
Bannert;Obermarkersdorf 198;2073;Obermarkersdorf;AT;Niederösterreich;Weinviertel;+43 2942 8337;office@weingutbannert.com;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Barbach;Rudolfgasse 8;2380;Perchtoldsdorf;AT;Niederösterreich;Thermenregion;+43 1 8698378;mail@weinbau-barbach.at;ÖWM-Betriebssuche
Barbara Öhlzelt;Eichelbergstrasse 32;3561;Zöbing;AT;Niederösterreich;Kamptal;+43 2734 4857;barbara@weinberggeiss.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Barnet;Puch 1;2014;Breitenwaida;AT;Niederösterreich;Weinviertel;+43 2954 2023;weingut@barnet.at;ÖWM-Betriebssuche
Bartl (Hauptstrasse);Hauptstrasse 40;3471;Großriedenthal;AT;Niederösterreich;Wagram;+43 2279 7616;weinbau.bartl@gmail.com;ÖWM-Betriebssuche
Bartl (Hohenwarth);Hohenwarth 21;3472;Hohenwarth-Mühlbach a.M.;AT;Niederösterreich;Weinviertel;+43 2957 253;;ÖWM-Betriebssuche
Bartmann;Kirchenplatz 12;2512;Traiskirchen;AT;Niederösterreich;Thermenregion;+43 2252 81532;info@weinbau-bartmann.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Bauer (Alchemistenstraße);Alchemistenstraße 43;3470;Oberstockstall;AT;Niederösterreich;Wagram;+43 2279 2103;info@weinhofbauer.at;ÖWM-Betriebssuche
Bauer (Alt-Höflein);Alt-Höflein 90;2143;Großkrut;AT;Niederösterreich;Weinviertel;+43 2556 5383;;ÖWM-Betriebssuche
Bauer (Ameistal);Ameistal 4;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 2955 71572;;ÖWM-Betriebssuche
Bauer (Gneixendorfer Hauptstrasse);Gneixendorfer Hauptstrasse 47;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 86774;;ÖWM-Betriebssuche
Bauer (Grosse Zeile);Grosse Zeile 13;2172;Schrattenberg;AT;Niederösterreich;Weinviertel;+43 2555 2276;wein.bauer@aon.at;ÖWM-Betriebssuche
Bauer (Karl-Eyblgasse);Karl-Eyblgasse 5/21;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;;michaela.bauer84@a1.net;ÖWM-Betriebssuche
Bauer (Maustrenk);Maustrenk 70;2225;Maustrenk;AT;Niederösterreich;Weinviertel;+43 2532 82692;;ÖWM-Betriebssuche
Bauer (Neuberg);Neuberg 1;2221;Groß-Schweinbarth;AT;Niederösterreich;Weinviertel;;bl@sandberg-weinviertel.at;ÖWM-Betriebssuche
Bauer (Radlbach);Radlbach 8;3620;Spitz;AT;Niederösterreich;Wachau;+43 2713 2835;;ÖWM-Betriebssuche
Bauer (Rohrbacher Straße);Rohrbacher Straße 9;2100;Leobendorf;AT;Niederösterreich;Weinviertel;+43 699 11712317;office@heurigen-bauer.at;ÖWM-Betriebssuche
Bauer (Seefeld);Seefeld 209;2062;Seefeld-Kadolz;AT;Niederösterreich;Weinviertel;+43 2943 3927;;ÖWM-Betriebssuche
Bauer (Wallner-Vetter-Gasse);Wallner-Vetter-Gasse 12;3483;Feuersbrunn;AT;Niederösterreich;Wagram;+43 2738 8777;weinerlebnis.bauer@gmail.com;ÖWM-Betriebssuche
Bauer (Weidling);Weidling 4;3125;Statzendorf;AT;Niederösterreich;Traisental;+43 2786 2348;winzerhof.bauer@a1.net;ÖWM-Betriebssuche
Bauer Christoph;Jetzelsdorf 49;2053;Haugsdorf;AT;Niederösterreich;Weinviertel;+43 2944 2304;office@bauerwein.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Bauer Emil;Ottenthal 26;3470;Großriedenthal;AT;Niederösterreich;Wagram;+43 664 9251433;weingut@emilbauer.at;ÖWM-Betriebssuche
Bauer Ernst (Hauptstraße);Hauptstraße 83;2221;Groß-Schweinbarth;AT;Niederösterreich;Weinviertel;+43 664 1300200;bauer@sandberg-weinviertel.at;ÖWM-Betriebssuche
Bauer Ernst (Nr.);Nr. 70;2225;Maustrenk;AT;Niederösterreich;Weinviertel;+43 2532 82692;bauers.weine@aon.at;ÖWM-Betriebssuche
Bauer Familie;Hauptstrasse 26;2251;Ebenthal;AT;Niederösterreich;Weinviertel;+43 2538 85651;office@derweinbauer.at;ÖWM-Betriebssuche
Bauer Franz;Hauptplatz 9;2013;Göllersdorf;AT;Niederösterreich;Weinviertel;+43 2954 3217;office@bauer-weine.at;ÖWM-Betriebssuche
Bauer Gerlinde;Volksschulsiedlung 5;2061;Hadres;AT;Niederösterreich;Weinviertel;+43 2943 2109;;ÖWM-Betriebssuche
Bauer Harald;Denkmalgasse 18;2172;Schrattenberg;AT;Niederösterreich;Weinviertel;+43 664 5017492;bauerh@gmx.at;ÖWM-Betriebssuche
Bauer Heinz;Sommerzeile 32;2222;Kollnbrunn;AT;Niederösterreich;Weinviertel;+43 2574 2517;info@heinzbauer.at;ÖWM-Betriebssuche
Bauer Hermann und Maria;Mühlberggasse 7;3743;Röschitz;AT;Niederösterreich;Weinviertel;+43 676 9516230;info@bauers-wein.at;ÖWM-Betriebssuche
Bauer Leopold;Landstrasse 63;3462;Bierbaum am Kleebühel;AT;Niederösterreich;Wagram;+43 676 5244534;aon.964521514@aon.at;ÖWM-Betriebssuche
Bauer Lorenz;Tiefenthal 12;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 664 1739946;lorenz.bauer@aon.at;ÖWM-Betriebssuche
Bauer Norbert;Jetzelsdorf 180;2053;Jetzelsdorf;AT;Niederösterreich;Weinviertel;+43 2944 2565;office@bauer-wein.com;ÖWM-Betriebssuche
Bauer Rupert;Hauptstrasse 32;2183;Neusiedl an der Zaya;AT;Niederösterreich;Weinviertel;+43 2533 89224;wein-bauer@aon.at;ÖWM-Betriebssuche
Bauer Stefan;Rathausplatz 19;3465;Königsbrunn am Wagram;AT;Niederösterreich;Wagram;+43 2278 2771;stefan@weingutbauer.at;ÖWM-Betriebssuche
Bauer-Feichtinger;Hasendorf 19;3454;Sitzenberg-Reidling;AT;Niederösterreich;Wagram;;;ÖWM-Betriebssuche
Baumgartner (Bergstrasse);Bergstrasse 33;3451;Spital;AT;Niederösterreich;Wagram;+43 2275 5777;heurigen@der-baumgartner.at;ÖWM-Betriebssuche
Baumgartner (Oberndorfer Ortsstraße);Oberndorfer Ortsstraße 38;3130;Herzogenburg;AT;Niederösterreich;Traisental;+43 2782 82611;office@baumgartner-wein.com;ÖWM-Betriebssuche
Baumgartner (Untermarkersdorf);Untermarkersdorf 39;2061;Untermarkersdorf;AT;Niederösterreich;Weinviertel;+43 2944 2395;info@obstbrand.at;ÖWM-Betriebssuche
Baumgartner (Zwettler Strasse);Zwettler Strasse 104;3500;Senftenberg;AT;Niederösterreich;Kremstal;+43 2734 2711;karl@weingut-baumgartner.at;ÖWM-Betriebssuche
Baumgartner Baumhausweine;Schloßstrasse 66;3550;Gobelsburg;AT;Niederösterreich;Kamptal;+43 664 4105660;office@baumgartner-weine.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Bayer (Hauptstraße);Hauptstraße 44;2100;Leobendorf;AT;Niederösterreich;Weinviertel;+43 664 2860799;e.resinger@gmx.net;ÖWM-Betriebssuche
Bayer (St. Michael);St. Michael 4;3610;Weißenkirchen in der Wachau;AT;Niederösterreich;Wachau;+43 2713 2364;office@weingut-bayer.com;ÖWM-Betriebssuche
Bayer Franz;Kremserstr. 17;3465;Königsbrunn am Wagram;AT;Niederösterreich;Wagram;+43 2278 2345;fb@weingutfranzbayer.at;ÖWM-Betriebssuche
Bayer Karin;Wieden 72;2162;Falkenstein;AT;Niederösterreich;Weinviertel;+43 664 1733550;weinbau.bayer@aon.at;ÖWM-Betriebssuche
Bayler;Gasse 28;2276;Reintal;AT;Niederösterreich;Weinviertel;+43 2557 5143;weingut@weingut-bayler.at;ÖWM-Betriebssuche
Beate Wandl;Sauberg 1;3550;Langenlois;AT;Niederösterreich;Kamptal;+43 2734 3033;office@weingutwandl.at;ÖWM-Betriebssuche
Beer;Nr. 250;3471;Großriedenthal;AT;Niederösterreich;Wagram;+43 2279 7615;office@weingutbeer.at;ÖWM-Betriebssuche
Behr;Kleinwiesendorf 1;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 2955 72802;;ÖWM-Betriebssuche
Beier;Hauptstraße 85;2252;Angern an der March;AT;Niederösterreich;Weinviertel;+43 2282 3326;h.beier@gmx.at;ÖWM-Betriebssuche
Bender;Niederfladnitz 37;2081;Niederfladnitz;AT;Niederösterreich;Weinviertel;+43 2949 2580;;ÖWM-Betriebssuche
Bendl Familie Herbert;Jetzelsdorf 41;2053;Pernersdorf;AT;Niederösterreich;Weinviertel;+43 2944 2303;bendl@weingut-bendl.at;ÖWM-Betriebssuche
Benedikt;Mallon 26;3470;Kirchberg am Wagram;AT;Niederösterreich;Wagram;+43 676 6362490;office@benedikt.cc;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Benediktinerstift Altenburg;Abt-Placidus-Much- Straße 1;3591;Altenburg;AT;Niederösterreich;;+43 2982 345121;kultur.tourismus@stift-altenburg.at;ÖWM-Betriebssuche
Benischek;Lerchenfelderstrasse 37;3133;Traismauer;AT;Niederösterreich;Traisental;+43 2783 7632;;ÖWM-Betriebssuche
Beranek (Alte Strasse);Alte Strasse 3;3552;Stratzing;AT;Niederösterreich;Kremstal;+43 2719 8790;;ÖWM-Betriebssuche
Beranek (Lengenfelder Strasse);Lengenfelder Strasse 3;3552;Stratzing;AT;Niederösterreich;Kremstal;+43 2719 2906;;ÖWM-Betriebssuche
Beranek (Wiener Strasse);Wiener Strasse 45;2345;Brunn am Gebirge;AT;Niederösterreich;Thermenregion;+43 2236 377193;weinwerkstatt.beranek@aon.at;ÖWM-Betriebssuche
Berchtesgadnerhof;Nr. 60;2225;Zistersdorf;AT;Niederösterreich;Weinviertel;+43 699 10513985;j.kopp@aon.at;ÖWM-Betriebssuche
Berger (Enzersdorf);Enzersdorf 75;2134;Staatz;AT;Niederösterreich;Weinviertel;+43 664 3260026;hallo@bergersfinewine.com;ÖWM-Betriebssuche
Berger (Hauptstrasse);Hauptstrasse 15;2171;Herrnbaumgarten;AT;Niederösterreich;Weinviertel;+43 2555 2760;wein.berger@nanet.at;ÖWM-Betriebssuche
Berger (Kellergasse);Kellergasse 10;2212;Großengersdorf;AT;Niederösterreich;Weinviertel;+43 676 6391415;thbe@gmx.at;ÖWM-Betriebssuche
Berger (Schloßstraße);Schloßstraße 2;3491;Wiedendorf;AT;Niederösterreich;Kamptal;+43 2735 79214;;ÖWM-Betriebssuche
Berger (Weinbergstraße);Weinbergstraße 2;3494;Gedersdorf;AT;Niederösterreich;Kremstal;+43 2735 8234;office@weingut-berger.com;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Berger Christian;Gartenweg 3;3390;Melk;AT;Niederösterreich;;+43 676 5047670;berger8@gmx.net;ÖWM-Betriebssuche
Berger Familie;Winzerstrasse 9;3743;Röschitz;AT;Niederösterreich;Weinviertel;+43 664 6423847;office@bergerwein.at;ÖWM-Betriebssuche
Berger Martina;Hadres 118;2061;Hadres;AT;Niederösterreich;Weinviertel;+43 664 2504215;r.m.berger@aon.at;ÖWM-Betriebssuche
Berger Walter;Rehberger Hauptstrasse 29;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 72619;;ÖWM-Betriebssuche
Bergkellerei Godfried Steinschade;Grafenegger Strasse 13;3492;Engabrunn;AT;Niederösterreich;Kamptal;+43 2735 2548;wein@steinschaden.com;ÖWM-Betriebssuche
Bergkirchner Josef;Mitterarnsdorf 1;3621;Rossatz-Arnsdorf;AT;Niederösterreich;Wachau;+43 664 1405331;office@bergkirchner-wachau.at;ÖWM-Betriebssuche
Bergmann;Am Anger 3;2070;Retz;AT;Niederösterreich;Weinviertel;+43 664 73866875;office@windmuehle.at;ÖWM-Betriebssuche
